memberId,dodsId,pimsId,name,nameListed,nameInFull,gender,dateOfBirth,dateOfDeath,house,houseStartDate,houseEndDate,partyId,party,from,layingMinisterName,state,stateIsActive,stateReason,stateStartDate
3280,,,Lord Ravensdale,"Ravensdale, L.",The Lord Ravensdale MC,M,1923-06-25T00:00:00,,Lords,1966-02-09T00:00:00,1999-11-11T00:00:00,6,Crossbench,Hereditary,,,false,,
3279,,,Lord Ravensworth,"Ravensworth, L.",The Rt Hon. the Lord Ravensworth,M,1924-07-25T00:00:00,2004-03-28T00:00:00,Lords,1950-08-04T00:00:00,1999-11-11T00:00:00,21,Other,Hereditary,,,false,,
3278,26594,312,Baroness Rawlings,"Rawlings, B.",The Baroness Rawlings,F,1939-01-27T00:00:00,,Lords,1994-10-05T00:00:00,,4,Conservative,Life peer,,Current Member,true,,1994-10-05T00:00:00
3269,26595,,Lord Rawlinson of Ewell,"Rawlinson of Ewell, L.",The Rt Hon. the Lord Rawlinson of Ewell QC,M,1919-06-26T00:00:00,2006-06-28T00:00:00,Lords,1978-04-17T00:00:00,2006-06-28T00:00:00,4,Conservative,Life peer,,,false,,
2407,,,Lord Rayleigh,"Rayleigh, L.",The Lord Rayleigh,M,1908-04-12T00:00:00,1988-04-21T00:00:00,Lords,1947-12-13T00:00:00,1988-04-21T00:00:00,21,Other,Hereditary,,,false,,
3277,,,Lord Rayleigh,"Rayleigh, L.",The Lord Rayleigh,M,1960-06-04T00:00:00,,Lords,1988-04-21T00:00:00,1999-11-11T00:00:00,4,Conservative,Hereditary,,,false,,
3285,,,Lord Rayne,"Rayne, L.",The Lord Rayne,M,1918-02-08T00:00:00,2003-10-10T00:00:00,Lords,1976-08-02T00:00:00,2003-10-10T00:00:00,21,Other,Life peer,,,false,,
4356,134574,6143,Angela Rayner,"Rayner, Angela",Angela Rayner MP,F,1980-03-28T00:00:00,,Commons,2015-05-07T00:00:00,,15,Labour,Ashton-under-Lyne,,Current Member,true,,2015-05-07T00:00:00
2847,,,The Lord Rayner,"Rayner, L.",The Rt Hon. the Lord Rayner,M,1926-03-30T00:00:00,1998-06-26T00:00:00,Lords,1983-02-03T00:00:00,1998-06-26T00:00:00,21,Other,Life peer,,,false,,
171,25344,319,Mr Nick Raynsford,"Raynsford, Mr Nick",Rt Hon Nick Raynsford,M,1945-01-28T00:00:00,,Commons,1992-04-09T00:00:00,2015-03-30T00:00:00,15,Labour,Greenwich and Woolwich,,,false,,
3275,26596,320,Lord Razzall,"Razzall, L.",The Lord Razzall CBE,M,1943-06-12T00:00:00,,Lords,1997-10-22T00:00:00,,17,Liberal Democrat,Life peer,,Current Member,true,,1997-10-22T00:00:00
3274,26597,321,Lord Rea,"Rea, L.",The Lord Rea,M,1928-06-06T00:00:00,,Lords,1982-04-21T00:00:00,,15,Labour,Excepted Hereditary,,Current Member,true,,1982-04-21T00:00:00
3273,,,The Marquess of Reading,"Reading, M.",The Most Hon. the Marquess of Reading,M,1942-05-18T00:00:00,,Lords,1980-07-02T00:00:00,1999-11-11T00:00:00,4,Conservative,Hereditary,,,false,,
